"Text";"Id"
"RT @carteiroreaca: Fui notificado pela direção nacional do PSL que estou no Conselho de Ética do Partido. Os fisiológicos querem minha expu…";"1194015614811156480"
"RT @MarcosQuezado1: Soltura de Lula causou oscilações na Bolsa de Valores, diz Bolsonaro https://t.co/fXJM7scM57 via @@renovamidia";"1194015614664413185"
"RT @carteiroreaca: Fui notificado pela direção nacional do PSL que estou no Conselho de Ética do Partido. Os fisiológicos querem minha expu…";"1194015613720522753"
"Bolsonaro edita medida provisória que extingue o DPVAT a partir de 2020 https://t.co/60EI4yFKSO";"1194015613389279233"
"RT @CarlaValente_17: ??? Parte 1
Ovacionado! Presidente Bolsonaro é recebido aos Gritos de MITO no Nordeste e fala com a imprensa em Campin…";"1194015613036965889"
"RT @BolsonaroSP: Muito se fala que o Nordeste apóia Lula e o PT.

A agenda do Presidente Jair Bolsonaro em Campina Grande desmente essa far…";"1194015611145400326"
"RT @Lets_Dex: Eles acusam de haver uma 'direita Flaviana' pra proteger o Toffoli de uma suposta blindagem dada ao Flávio porque na verdade…";"1194015610717573120"
"RT @bibonunes1: Bolsonaro terá mais apoio ainda saindo do PSL, que não honrou a pauta da nova e limpa política.
Longe de partido dinheirist…";"1194015609983553536"
"RT @CavalcantiVam: O Luciano Huck aplaude o golpe dado na Bolívia,depois volta atrás e apaga o post,ou seja age como Bolsonaro sempre volta…";"1194015609039835136"
"RT @Gleison88as: @SaoBlackNews @jairbolsonaro @joicehasselmann Deve ser do tipo da denúncia durante a eleição, de revistas que receberam mi…";"1194015608209395712"
"RT @gazetadopovo: ? ENTREVISTA EXCLUSIVA! 

Sergio Moro fala pela primeira vez após a soltura de Lula e rebate ataques: https://t.co/8kh3eQ…";"1194015607936749570"
"RT @SophiePieretti: Caminhoneiros, 'gado do Bolsonaro', 'militantes virtuais pagos', perfis vaporwave, 'robôs do governo' e tias do zap tod…";"1194015606380597249"
"RT @erikakokay: O 'CENTRO' É A DIREITA

A mídia trabalha para jogar Lula e Bolsonaro em dois extremos e tenta fortalecer um suposto discurs…";"1194015606191927301"
"RT @JornalDaCidadeO: “Na minha família, a minha filha tem sangue de cabra da peste”, disse o presidente. “Meu sogro é do Ceará”, prosseguiu…";"1194015605973749760"
"Bolsonaro é comunista #ComunistaApoiaGenocidio";"1194015605659242500"
"Cala a boca VELHO GAGÁ anticristo jair satanás bolsonaro, vc é que precisa ser preso,pelas bombas,que jogou no quartel do exército.
#bolsonaroInvejoso
#BolsonaroAssassino 
#LulaCorrePerigo 
#LulaLivre https://t.co/1PkQQRArfE";"1194015604195385344"
"RT @apoliticadefato: Entrevistamos o Deputado @pauloganime e ele falou sobre a sua entrada na política, projetos, liberalismo de Macri e Go…";"1194015602278576135"
"RT @_remina: CARALHO FODASE A PORRA DO CARLOS BOLSONARO POSTANDO FOTO IDIOTA

TA ACONTECENDO A PORRA DE UM GOLPE NA BOLÍVIA CARALHO

UM GOL…";"1194015601406164994"
"RT @erikakokay: COVARDE E AUTORITÁRIO 

Bolsonaro ameaça usar Lei de Segurança Nacional contra Lula por querer ameaçar a “ordem constitucio…";"1194015598205906945"
