"Created-At";"From-User";"From-User-Id";"To-User";"To-User-Id";"Language";"Source";"Text";"Geo-Location-Latitude";"Geo-Location-Longitude";"Retweet-Count";"Id"
11/13/19 12:01 AM;"UOL Notícias";"14594698";;"-1";"pt";"<a href='https://zapier.com/' rel='nofollow'>Zapier.com</a>";"Você deveria ter sido meu vice, e não esse Mourão aí, diz Bolsonaro a príncipe https://t.co/MtalCdihrg";;;390;"1194435102958391296"
11/13/19 1:07 AM;"Mônica Bergamo";"58951368";;"-1";"pt";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"Bolsonaro ao príncipe: você deveria ter sido meu vive e não esse Mourão aí:
https://t.co/WedsuvnbHt";;;480;"1194451795592065024"
11/13/19 12:08 AM;"DCM ONLINE";"43340387";;"-1";"pt";"<a href='http://twitter.com' rel='nofollow'>Twitter Web Client</a>";"Bolsonaro humilha general e diz a “príncipe”: “Você deveria ter sido meu vice, e não esse Mourão aí” https://t.co/QXmBgXMEl5";;;337;"1194436801924141056"
11/13/19 10:40 AM;"Sirlei Margarete Flesch";"1141153028361338885";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @DesSavio: BOLSONARO NÃO TEM RESPEITO E NEM DIGNIDADE É UM SEM NOÇÃO -- OS MILITARES DEVERIA INTERDITAR ESTE MILICIANO VAGABUNDO MOLEQUE…";;;24;"1194596003212607490"
11/13/19 10:40 AM;"paulo bruschi";"196280157";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @leandroruschel: A assessora de imprensa do PT na Folha mente! Quer criar intrigas, para variar.

O presidente não atacou Mourão na conv…";;;174;"1194595997583839232"
11/13/19 10:40 AM;"Alves Jayme Panerai";"1063905159728779264";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @MarceloBackes12: “Você deveria ter sido meu vice, e não esse Mourão aí”, diz Jair Bolsonaro, sábio às avessas, ao príncipe Luiz Philipp…";;;229;"1194595984447283200"
11/13/19 10:40 AM;"Terezinha Pinheiro";"901145309409136641";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @kabokiko: O bozo cuspiu na cara General do Mourão

Mônica Bergamo: Você deveria ter sido meu vice, e não esse Mourão aí, diz Bolsonaro…";;;1;"1194595975203086336"
11/13/19 10:40 AM;"Blog Olho na Mira";"154336315";;"-1";"pt";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @P_Little_P: O Jair queria o Magno Malta de vice...lembro bem...depois virou as costas pro aliado. Agora apunhala o Mourão...
Eita bicho…";;;3;"1194595969687527425"
11/13/19 10:40 AM;"O ALFARRABISTA";"806989995374497792";;"-1";"pt";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @VEJA: Bolsonaro revela que preferia ‘príncipe’ como vice no lugar de Mourão https://t.co/jUFCmyCJ9Z";;;7;"1194595964834717696"
11/13/19 10:40 AM;"Miguel";"2351727918";;"-1";"pt";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @leandroruschel: A assessora de imprensa do PT na Folha mente! Quer criar intrigas, para variar.

O presidente não atacou Mourão na conv…";;;174;"1194595963802927104"
11/13/19 10:40 AM;"Antônio LULA Filho";"1103743581561544705";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @AntonioLFh: Bolsonaro é um especialista em gerar crises.  É um despreparado. Agora humilhou o Mourão e as Forças Armadas juntos.
Pode s…";;;31;"1194595952545468416"
11/13/19 10:40 AM;"27917";"1058326807630495744";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @alefrota77: O Bolsonaro podia pelo menos falar para o Brasil porque na madrugada da convenção do Psl decidiu não levar o Príncipe como…";;;369;"1194595950754484224"
11/13/19 10:40 AM;"Edemar Motta";"183336827";"HaddadDebochado";"1050174967298629633";"pt";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"@HaddadDebochado Agora é tarde, Bolsonaro está com o Mourão enterrado no lombo.";;;0;"1194595948497784832"
11/13/19 10:40 AM;"simoni brum de sousa";"146557695";;"-1";"pt";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @alefrota77: O Bolsonaro podia pelo menos falar para o Brasil porque na madrugada da convenção do Psl decidiu não levar o Príncipe como…";;;369;"1194595937181720576"
11/13/19 10:40 AM;"Nelson Simões Filho";"2907122089";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @izanildosabino: Seu Jair muda de partido como muda de roupa.

Os q ajudaram na eleição disseminando fakes agora são descartadados como…";;;12;"1194595928990191616"
11/13/19 10:40 AM;"??? Orgulho de ser Vascaino";"949002240114782208";;"-1";"pt";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @VEJA: Bolsonaro revela que preferia ‘príncipe’ como vice no lugar de Mourão https://t.co/jUFCmyCJ9Z";;;7;"1194595926322667521"
11/13/19 10:40 AM;"Rhona";"52440243";;"-1";"pt";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @leandroruschel: A assessora de imprensa do PT na Folha mente! Quer criar intrigas, para variar.

O presidente não atacou Mourão na conv…";;;174;"1194595918697381888"
11/13/19 10:40 AM;"claudinei cardoso da silva";"372394806";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @BrazilFight: Mônica Bergamo:
“Você deveria ter sido meu vice, e não esse Mourão aí, diz Bolsonaro a príncipe.
Presidente externou arrep…";;;105;"1194595896895397890"
11/13/19 10:40 AM;"Gabriel Marques";"1114200736299134984";;"-1";"pt";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @leandroruschel: A assessora de imprensa do PT na Folha mente! Quer criar intrigas, para variar.

O presidente não atacou Mourão na conv…";;;174;"1194595894437515266"
